stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
"1926880828","2021-05-10 10:58:33","Gobernadora del Valle del Cauca anunció el cierre de las fronteras del departamento","https://www.elpaisvallenato.com/2021/05/10/gobernadora-del-valle-del-cauca-anuncio-el-cierre-de-las-fronteras-del-departamento/","es","False","","336993","El Pais Vallenato","http://elpaisvallenato.com/"
"1926947940","2021-05-09 23:22:40","El comité del paro no me representa","http://periodicodebate.com/index.php/opinion/columnistas-regionales/item/29832-el-comité-del-paro-no-me-representa","es","False","","324728","periodicodebate.com","http://periodicodebate.com/"
"1926947938","2021-05-09 23:22:42","El país se levanta contra los bloqueos","http://periodicodebate.com/index.php/nacion/politica/item/29834-cd-1744","es","False","","324728","periodicodebate.com","http://periodicodebate.com/"
"1926975415","2021-05-10 12:26:49","Avanza la organización de la Copa América con Argentina y Colombia como sedes","https://www.infobae.com/america/deportes/2021/05/10/avanza-la-organizacion-de-la-copa-america-con-argentina-y-colombia-como-sedes/","es","False","","695713","Revista Gente","https://www.infobae.com/gente/"
"1927041045","2021-05-10 14:00:29","Evitemos la barbarie: una guerra civil en Colombia","http://blogs.eltiempo.com/alvaronarvaez/2021/05/10/evitemos-la-barbarie-una-guerra-civil-en-colombia/","es","False","","38871","El Tiempo","http://www.eltiempo.com"
"1927068115","2021-05-10 14:14:29","""La sociedad colombiana no puede seguir secuestrada por los bloqueos"": Duque","http://www.elpais.com.co/colombia/la-sociedad-na-no-puede-seguir-secuestrada-por-los-bloqueos-duque.html","es","False","","62209","El Pais.com","http://elpais.com.co/"
"1927069073","2021-05-10 14:14:29","""La sociedad colombiana no puede seguir secuestrada por los bloqueos"": Duque","http://www.elpais.com.co/colombia/la-sociedad-na-no-puede-seguir-secuestrada-por-los-bloqueos-duque.html","es","False","","348081","Noticias de Cali, Valle y Colombia - Periodico: Diario El Pais","http://www.elpais.com.co/elpais/"
"1927072684","2021-05-10 14:25:22","""Quienes empiezan a reactivarse han perdido más que en el inicio de la pandemia""","https://www.larepublica.co/economia/quienes-empiezan-a-reactivarse-han-perdido-mas-que-en-el-inicio-de-la-pandemia-3167475","es","False","","325564","La Republica","http://larepublica.co/"
"1927084881","2021-05-10 12:46:55","Pandemia y derechos humanos","http://semanariovoz.com/pandemia-y-derechos-humanos/","es","False","","1206771","semanariovoz.com","http://semanariovoz.com/"
"1927103377","2021-05-10 14:51:04","Procuraduría abre investigación contra el alcalde de Zipaquirá por su actuación durante los bloqueos","https://www.infobae.com/america/colombia/2021/05/10/procuraduria-abre-investigacion-contra-el-alcalde-de-zipaquira-por-su-actuacion-durante-los-bloqueos/","es","False","","695713","Revista Gente","https://www.infobae.com/gente/"
"1927138295","2021-05-10 15:40:15","Avanza primer encuentro del Gobierno Nacional con el Comité Nacional del Paro","https://www.diariodelnorte.net/noticias/destacado-2/avanza-primer-encuentro-del-gobierno-nacional-con-el-comite-nacional-del-paro/","es","False","","348062","Diario del Norte","http://www.diariodelnorte.net/"
"1927152690","2021-05-10 16:07:44","Con una oración arrancó reunión de Duque y voceros del Comité de Paro","https://www.hoydiariodelmagdalena.com.co/archivos/511481","es","False","","348064","HOY Diario del Magdalena","http://www.hoydiariodelmagdalena.com.co/"
"1927181418","2021-05-10 16:33:03","A Cali llegaron más de 200 mil galones de gasolina y ACPM","https://www.eltiempo.com/justicia/servicios/cali-transportan-combustible-587436","es","False","","38871","El Tiempo","http://www.eltiempo.com"
"1927192113","2021-05-10 17:05:01","Duque se reunió con organizadores del paro en Colombia para diseñar acuerdos","https://www.lapatilla.com/2021/05/10/duque-organizadores-paro/","es","False","","127258","lapatilla.com","http://lapatilla.com/"
"1927219823","2021-05-10 17:34:32","Es un bloqueo sistemático el que vive el Magdalena desde el Gobierno de Duque","https://diariolalibertad.com/sitio/2021/05/10/es-un-bloqueo-sistematico-el-que-vive-el-magdalena-desde-el-gobierno-de-duque/","es","False","","1330749","Diario La Libertad - Con La Fuerza De La Verdad","http://diariolalibertad.com/sitio/"
"1927234560","2021-05-10 18:18:52","Fracasó diálogo con Duque, se mantiene el paro nacional","https://www.hoydiariodelmagdalena.com.co/archivos/511580","es","False","","348064","HOY Diario del Magdalena","http://www.hoydiariodelmagdalena.com.co/"
"1927234367","2021-05-10 17:21:05","Sin acuerdo terminó reunión entre Gobierno y Comité del Paro","https://boyaca.extra.com.co/noticias/nacional/sin-acuerdo-termino-reunion-entre-gobierno-y-comite-del-paro-682952","es","False","","362386","Boyaca Extra","http://boyaca.extra.com.co/"
"1927239626","2021-05-10 17:21:05","Sin acuerdo, terminó reunión entre Gobierno y Comité del Paro","https://caqueta.extra.com.co/noticias/nacional/sin-acuerdo-termino-reunion-entre-gobierno-y-comite-del-paro-682952","es","False","","329452","Caqueta Extra","http://caqueta.extra.com.co/"
"1927245838","2021-05-10 17:21:05","Sin acuerdo, terminó reunión entre Gobierno y Comité del Paro","https://chiquinquira.extra.com.co/noticias/nacional/sin-acuerdo-termino-reunion-entre-gobierno-y-comite-del-paro-682952","es","False","","559945","Chiquinquira Extra","http://chiquinquira.extra.com.co/"
"1927251077","2021-05-10 17:21:05","Sin acuerdo, terminó reunión entre Gobierno y Comité del Paro","https://palmira.extra.com.co/noticias/nacional/sin-acuerdo-termino-reunion-entre-gobierno-y-comite-del-paro-682952","es","False","","651494","Palmira Extra ","http://palmira.extra.com.co/"
"1927255830","2021-05-10 17:21:05","Sin acuerdo terminó reunión entre Gobierno y Comité del Paro","https://cucuta.extra.com.co/noticias/nacional/sin-acuerdo-termino-reunion-entre-gobierno-y-comite-del-paro-682952","es","False","","651491","CÚCUTA Extra ","http://cucuta.extra.com.co/"
"1927259646","2021-05-10 18:55:07","Habilitaron la vía Manizales - Mariquita, tras diálogo con camioneros","https://www.eltiempo.com/colombia/otras-ciudades/habilitaron-la-via-manizales-mariquita-tras-dialogo-con-camioneros-587489","es","False","","38871","El Tiempo","http://www.eltiempo.com"
